ime,zvrst in število epizod,čas nastajanja,število uporabnikov,ocena
Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,"724,918",8.54
Mushishi: Hihamukage,TV Special (1 eps),Jan 2014 - Jan 2014,"141,678",8.53
Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"882,436",8.53
Shingeki no Kyojin Season 2,TV (12 eps),Apr 2017 - Jun 2017,"2,759,315",8.52
Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"20,648",8.52
Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"229,979",8.52
Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"332,814",8.52
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"166,259",8.52
Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"204,612",8.52
Hotaru no Haka,Movie (1 eps),Apr 1988 - Apr 1988,"687,231",8.52
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,"229,404",8.52
Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"241,136",8.51
Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,"659,373",8.51
Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,"1,254,517",8.51
Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"511,224",8.51
Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,"1,602,240",8.51
Tian Guan Cifu Special,ONA (1 eps),Feb 2021 - Feb 2021,"50,809",8.50
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,"1,142,193",8.50
Mob Psycho 100,TV (12 eps),Jul 2016 - Sep 2016,"2,108,005",8.49
One Punch Man,TV (12 eps),Oct 2015 - Dec 2015,"3,260,144",8.49
Yakusoku no Neverland,TV (12 eps),Jan 2019 - Mar 2019,"1,994,190",8.49
Chainsaw Man,TV (12 eps),Oct 2022 - Dec 2022,"1,570,556",8.49
Ansatsu Kyoushitsu 2nd Season,TV (25 eps),Jan 2016 - Jul 2016,"1,452,925",8.48
Aria the Origination,TV (13 eps),Jan 2008 - Apr 2008,"131,254",8.48
Fate/stay night Movie: Heaven&#039;s Feel - II. Lost Butterfly,Movie (1 eps),Jan 2019 - Jan 2019,"395,196",8.48
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie (1 eps),Oct 2013 - Oct 2013,"385,518",8.48
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Apr 2024 - Jul 2024,"374,286",8.48
Pluto,ONA (8 eps),Oct 2023 - Oct 2023,"171,752",8.48
Summertime Render,TV (25 eps),Apr 2022 - Sep 2022,"548,121",8.48
Uchuu Kyoudai,TV (99 eps),Apr 2012 - Mar 2014,"196,812",8.48
Banana Fish,TV (24 eps),Jul 2018 - Dec 2018,"878,945",8.47
Rainbow: Nisha Rokubou no Shichinin,TV (26 eps),Apr 2010 - Sep 2010,"400,116",8.47
Kimetsu no Yaiba,TV (26 eps),Apr 2019 - Sep 2019,"3,089,137",8.46
Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,"234,433",8.46
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,"107,522",8.46
Nichijou,TV (26 eps),Apr 2011 - Sep 2011,"909,304",8.46
Yuu☆Yuu☆Hakusho,TV (112 eps),Oct 1992 - Jan 1995,"699,373",8.46
Chihayafuru 3,TV (24 eps),Oct 2019 - Mar 2020,"143,685",8.46
Gintama: The Semi-Final,Special (2 eps),Jan 2021 - Jan 2021,"79,571",8.46
Karakai Jouzu no Takagi-san Movie,Movie (1 eps),Jun 2022 - Jun 2022,"77,473",8.45
Owarimonogatari,TV (12 eps),Oct 2015 - Dec 2015,"483,135",8.45
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps),Apr 2013 - Apr 2013,"601,022",8.45
Zoku Owarimonogatari,TV (6 eps),May 2019 - Jun 2019,"230,890",8.44
Bungou Stray Dogs 4th Season,TV (13 eps),Jan 2023 - Mar 2023,"299,153",8.44
Girls Band Cry,TV (13 eps),Apr 2024 - Jun 2024,"71,228",8.44
Golden Kamuy 3rd Season,TV (12 eps),Oct 2020 - Dec 2020,"173,481",8.44
Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,"2,000,945",8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,"1,131,616",8.44
Jujutsu Kaisen 0 Movie,Movie (1 eps),Dec 2021 - Dec 2021,"996,656",8.43
Mushishi Zoku Shou: Odoro no Michi,TV Special (1 eps),Aug 2014 - Aug 2014,"102,843",8.43
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,"906,782",8.43
Wu Liuqi: Xuanwu Guo Pian,ONA (10 eps),Jan 2021 - May 2021,"65,762",8.43
Grand Blue,TV (12 eps),Jul 2018 - Sep 2018,"793,083",8.43
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),Aug 2012 - Aug 2012,"44,940",8.42
Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,"599,510",8.42
Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,"181,509",8.42
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,"800,783",8.42
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,"400,860",8.42
Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"334,041",8.42
Saenai Heroine no Sodatekata Fine,Movie (1 eps),Oct 2019 - Oct 2019,"186,598",8.42
Tian Guan Cifu,ONA (11 eps),Oct 2020 - Jan 2021,"150,772",8.42
